cuda:2 [526, 558, 174, 339, 695, 425, 424, 407, 63, 445, 172, 477, 302, 1114, 406, 570, 87, 350, 205, 102, 96, 118, 42, 749, 156, 551, 30, 301, 1016, 27, 213, 117, 454, 248, 186, 139, 202, 197, 170, 291, 50, 477, 240, 314, 582, 487, 475, 263, 124, 61, 263, 812, 111, 870, 416, 424, 92, 238, 759, 413, 210, 271, 290, 118]
cuda:1 [572, 588, 176, 410, 760, 341, 414, 427, 58, 471, 222, 533, 322, 1028, 445, 559, 91, 391, 231, 119, 100, 96, 63, 833, 148, 546, 39, 321, 993, 31, 223, 170, 487, 247, 269, 235, 218, 212, 150, 296, 51, 435, 273, 330, 521, 491, 566, 317, 125, 81, 271, 869, 115, 904, 441, 513, 79, 274, 764, 422, 212, 266, 257, 116]
cuda:3 [557, 492, 215, 357, 664, 325, 405, 452, 74, 475, 184, 516, 309, 1059, 377, 646, 117, 294, 218, 119, 98, 95, 57, 785, 130, 552, 38, 300, 967, 13, 227, 113, 454, 242, 152, 157, 168, 210, 166, 346, 48, 456, 227, 298, 563, 520, 509, 266, 146, 64, 239, 868, 87, 840, 391, 446, 104, 277, 788, 375, 218, 262, 258, 129]
cuda:2 [522, 527, 206, 348, 720, 411, 434, 435, 70, 429, 187, 459, 296, 1117, 402, 574, 98, 338, 220, 87, 109, 97, 43, 747, 157, 496, 31, 289, 983, 21, 213, 129, 428, 240, 175, 158, 187, 188, 175, 275, 48, 482, 244, 316, 595, 504, 514, 278, 137, 59, 246, 837, 124, 821, 424, 425, 92, 246, 769, 429, 203, 298, 272, 120]
cuda:1 [581, 615, 183, 404, 787, 337, 434, 431, 66, 495, 203, 537, 306, 1036, 423, 624, 82, 338, 220, 110, 109, 79, 76, 844, 156, 558, 36, 320, 977, 47, 231, 172, 500, 227, 234, 209, 208, 204, 165, 290, 47, 445, 256, 341, 551, 486, 529, 313, 149, 66, 264, 869, 122, 875, 450, 488, 89, 272, 768, 440, 196, 287, 248, 123]
cuda:2 [503, 501, 186, 343, 697, 425, 418, 418, 66, 443, 185, 429, 305, 1104, 418, 579, 84, 341, 197, 90, 104, 116, 48, 767, 158, 557, 31, 314, 990, 34, 200, 143, 426, 244, 179, 148, 190, 179, 174, 280, 57, 481, 238, 318, 625, 523, 518, 272, 146, 49, 233, 816, 121, 823, 408, 435, 113, 252, 780, 404, 209, 289, 277, 103]
cuda:3 [590, 483, 219, 351, 647, 304, 414, 485, 69, 444, 179, 477, 286, 1053, 398, 614, 96, 320, 228, 116, 96, 84, 56, 801, 142, 532, 39, 325, 982, 19, 251, 128, 479, 253, 161, 146, 184, 202, 173, 334, 41, 444, 211, 300, 548, 483, 527, 273, 139, 61, 253, 879, 90, 862, 382, 450, 113, 291, 788, 392, 207, 258, 242, 110]
cuda:3 [642, 482, 215, 351, 648, 314, 431, 462, 79, 466, 184, 493, 307, 1095, 432, 655, 108, 305, 218, 101, 102, 93, 72, 763, 139, 519, 36, 326, 951, 14, 236, 116, 449, 237, 150, 133, 183, 199, 185, 341, 45, 465, 209, 302, 550, 499, 501, 278, 144, 54, 230, 873, 74, 828, 383, 444, 93, 296, 785, 399, 222, 223, 261, 114]
cuda:2 [533, 524, 193, 329, 681, 437, 427, 405, 61, 454, 184, 473, 318, 1093, 424, 568, 85, 347, 190, 92, 103, 115, 43, 798, 153, 557, 29, 305, 1009, 25, 202, 131, 442, 243, 185, 140, 191, 198, 152, 282, 36, 460, 264, 324, 600, 492, 508, 262, 134, 64, 238, 805, 108, 855, 434, 408, 104, 236, 747, 423, 208, 269, 290, 114]
cuda:1 [586, 557, 164, 417, 791, 370, 434, 420, 61, 475, 216, 486, 323, 1015, 413, 573, 85, 371, 217, 109, 95, 82, 80, 816, 164, 545, 45, 312, 991, 28, 216, 169, 509, 283, 238, 243, 217, 200, 159, 290, 42, 441, 283, 317, 553, 497, 545, 317, 143, 64, 250, 906, 118, 896, 438, 530, 79, 261, 759, 424, 228, 293, 259, 120]
cuda:1 [564, 610, 172, 403, 779, 354, 424, 432, 69, 480, 204, 553, 330, 990, 444, 584, 99, 349, 216, 111, 117, 77, 81, 803, 168, 543, 34, 307, 1014, 39, 235, 188, 498, 252, 240, 219, 205, 216, 162, 283, 41, 462, 259, 323, 515, 495, 561, 267, 154, 73, 264, 886, 112, 900, 426, 514, 76, 241, 774, 469, 216, 288, 252, 112]
cuda:2 [532, 500, 208, 331, 686, 426, 407, 416, 58, 396, 180, 463, 310, 1087, 441, 599, 89, 351, 218, 92, 98, 96, 45, 758, 153, 560, 34, 301, 983, 30, 203, 147, 417, 253, 197, 137, 202, 171, 171, 274, 33, 463, 252, 313, 605, 539, 533, 281, 134, 54, 252, 822, 103, 859, 411, 440, 106, 240, 754, 421, 206, 275, 269, 119]
cuda:3 [588, 466, 205, 367, 636, 315, 427, 432, 76, 480, 183, 486, 302, 1072, 427, 602, 96, 314, 232, 116, 101, 115, 47, 792, 143, 542, 31, 311, 953, 15, 242, 122, 456, 238, 166, 152, 201, 208, 175, 344, 45, 437, 238, 295, 541, 479, 532, 300, 144, 58, 244, 871, 79, 833, 409, 434, 99, 296, 783, 386, 221, 239, 249, 116]
cuda:2 [279, 266, 101, 183, 373, 243, 204, 222, 29, 246, 104, 226, 152, 606, 228, 271, 53, 160, 96, 48, 44, 45, 28, 394, 81, 257, 15, 145, 528, 17, 98, 69, 247, 120, 100, 83, 105, 115, 86, 136, 26, 268, 112, 143, 381, 267, 289, 151, 80, 22, 144, 417, 58, 443, 212, 236, 69, 122, 369, 213, 103, 146, 132, 58]
cuda:1 [309, 291, 84, 203, 362, 170, 230, 259, 47, 266, 86, 280, 162, 557, 224, 282, 40, 174, 130, 66, 38, 54, 28, 463, 82, 279, 23, 108, 524, 14, 132, 72, 244, 139, 101, 132, 107, 112, 75, 128, 24, 204, 130, 119, 259, 249, 257, 143, 62, 29, 138, 425, 58, 384, 219, 250, 50, 132, 421, 216, 97, 145, 116, 60]
cuda:3 [271, 242, 112, 161, 350, 137, 205, 187, 39, 233, 89, 259, 123, 499, 197, 363, 43, 142, 110, 46, 64, 69, 32, 353, 61, 235, 11, 144, 431, 4, 100, 60, 214, 129, 71, 78, 73, 108, 79, 159, 26, 163, 118, 173, 247, 225, 247, 132, 67, 31, 132, 382, 42, 388, 195, 205, 65, 140, 401, 185, 122, 120, 96, 55]
cuda:1 [167, 157, 45, 108, 203, 98, 123, 123, 23, 105, 70, 159, 102, 319, 123, 147, 17, 96, 71, 41, 34, 27, 24, 240, 49, 143, 6, 48, 314, 7, 78, 23, 129, 63, 52, 58, 53, 42, 54, 76, 9, 136, 65, 81, 155, 154, 138, 81, 32, 18, 74, 237, 30, 186, 105, 142, 27, 62, 221, 128, 65, 84, 62, 35]
cuda:2 [117, 114, 62, 79, 136, 114, 104, 77, 8, 101, 37, 95, 66, 272, 114, 134, 22, 73, 49, 21, 29, 28, 10, 156, 32, 121, 9, 81, 276, 7, 52, 31, 118, 54, 48, 46, 47, 59, 38, 65, 14, 123, 71, 102, 153, 108, 109, 56, 37, 22, 59, 180, 34, 190, 86, 113, 26, 51, 169, 90, 62, 67, 55, 41]
cuda:3 [149, 110, 45, 81, 145, 55, 80, 93, 11, 113, 58, 115, 73, 266, 80, 108, 28, 71, 54, 26, 21, 27, 12, 185, 37, 125, 5, 70, 226, 4, 58, 36, 128, 64, 25, 21, 45, 62, 27, 67, 9, 115, 77, 52, 129, 152, 169, 57, 38, 10, 44, 220, 24, 203, 91, 103, 23, 80, 226, 99, 43, 75, 58, 17]
cuda:3 [144, 112, 60, 1, 64, 73, 27, 271, 11, 190, 58, 2, 27, 270, 364, 444, 4, 5, 0, 0, 0, 0, 2, 0, 4, 118, 0, 70, 713, 0, 5, 0, 56, 87, 14, 23, 2, 0, 2, 1, 0, 99, 1, 16, 3, 36, 53, 9, 0, 0, 280, 377, 0, 670, 6, 26, 15, 70, 7, 13, 153, 58, 1, 3]
cuda:1 [183, 123, 65, 19, 80, 96, 39, 300, 7, 199, 51, 11, 31, 288, 488, 584, 1, 5, 0, 0, 1, 0, 1, 3, 8, 168, 1, 79, 817, 0, 0, 0, 57, 102, 13, 54, 3, 0, 4, 1, 0, 132, 3, 22, 6, 30, 67, 11, 0, 0, 378, 397, 0, 774, 10, 37, 10, 87, 9, 34, 184, 62, 6, 3]
cuda:2 [116, 107, 83, 17, 109, 132, 32, 269, 7, 143, 51, 24, 41, 260, 350, 473, 0, 4, 1, 0, 0, 0, 2, 3, 7, 114, 0, 67, 654, 0, 0, 0, 45, 79, 35, 64, 1, 0, 3, 1, 0, 87, 6, 20, 7, 49, 70, 18, 1, 0, 256, 240, 1, 623, 15, 40, 16, 86, 6, 17, 185, 75, 6, 2]
cuda:1 [72, 81, 13, 77, 89, 53, 52, 59, 15, 55, 35, 76, 51, 157, 61, 73, 11, 49, 27, 33, 18, 13, 9, 128, 14, 80, 8, 25, 166, 2, 37, 16, 69, 37, 33, 25, 22, 29, 17, 33, 2, 55, 31, 34, 93, 73, 64, 37, 17, 13, 41, 120, 12, 113, 58, 76, 15, 31, 92, 51, 31, 45, 36, 12]
cuda:2 [76, 73, 20, 55, 92, 49, 44, 50, 9, 78, 22, 53, 43, 170, 50, 72, 16, 52, 34, 14, 9, 26, 6, 118, 20, 75, 7, 48, 157, 2, 30, 16, 59, 41, 28, 17, 36, 40, 20, 45, 9, 72, 35, 43, 78, 63, 75, 47, 21, 9, 31, 122, 18, 123, 62, 68, 18, 30, 90, 64, 35, 35, 33, 19]
cuda:3 [46, 41, 12, 33, 70, 21, 30, 35, 19, 46, 14, 37, 24, 93, 35, 60, 8, 36, 21, 7, 17, 14, 2, 65, 7, 40, 2, 51, 62, 1, 27, 25, 61, 14, 27, 14, 15, 18, 14, 36, 4, 50, 28, 27, 56, 46, 54, 27, 12, 2, 20, 74, 15, 89, 47, 48, 20, 25, 72, 44, 24, 30, 26, 8]
cuda:1 [81, 46, 13, 16, 23, 33, 26, 71, 13, 109, 48, 6, 21, 159, 275, 219, 4, 1, 0, 0, 0, 0, 0, 2, 2, 40, 2, 38, 542, 0, 6, 0, 40, 94, 4, 39, 1, 0, 2, 0, 0, 80, 1, 10, 12, 19, 45, 7, 0, 1, 158, 140, 1, 371, 8, 11, 4, 35, 3, 35, 53, 98, 4, 0]
cuda:2 [73, 66, 18, 19, 35, 36, 43, 75, 8, 95, 44, 10, 29, 193, 259, 261, 2, 1, 0, 0, 0, 0, 2, 4, 0, 40, 0, 40, 523, 0, 2, 2, 37, 86, 14, 27, 2, 1, 1, 3, 1, 75, 7, 12, 5, 17, 41, 3, 2, 0, 137, 133, 1, 327, 13, 14, 6, 58, 3, 30, 55, 71, 1, 9]
cuda:3 [37, 44, 17, 0, 29, 19, 21, 50, 12, 70, 33, 3, 5, 120, 154, 178, 1, 2, 0, 0, 0, 0, 0, 0, 0, 27, 0, 45, 361, 0, 1, 1, 28, 69, 10, 6, 1, 0, 0, 0, 0, 49, 2, 6, 3, 23, 14, 5, 0, 0, 71, 127, 0, 239, 2, 2, 5, 30, 5, 20, 36, 62, 3, 0]
cuda:1 [59, 35, 0, 0, 2, 17, 11, 51, 0, 10, 2, 0, 3, 208, 23, 315, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 710, 0, 0, 0, 6, 80, 2, 22, 0, 0, 0, 0, 0, 78, 0, 0, 1, 10, 15, 0, 0, 0, 41, 124, 0, 795, 0, 5, 0, 7, 0, 4, 163, 253, 0, 0]
cuda:2 [62, 46, 0, 0, 13, 19, 13, 59, 0, 4, 1, 0, 8, 234, 15, 264, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 17, 705, 0, 0, 0, 7, 71, 1, 0, 0, 0, 0, 0, 0, 69, 0, 2, 0, 5, 12, 0, 0, 0, 22, 146, 0, 880, 0, 4, 0, 6, 0, 0, 166, 219, 0, 0]
cuda:3 [35, 38, 0, 0, 13, 24, 11, 28, 1, 4, 2, 0, 1, 154, 12, 178, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 470, 0, 0, 0, 6, 56, 1, 0, 0, 0, 0, 0, 0, 28, 0, 3, 0, 18, 3, 0, 0, 0, 22, 92, 0, 577, 0, 2, 0, 5, 0, 0, 111, 143, 0, 0]
cuda:3 [4, 66, 0, 0, 0, 38, 5, 10, 0, 3, 0, 0, 2, 243, 0, 286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 789, 0, 0, 0, 2, 25, 0, 6, 0, 0, 0, 0, 0, 50, 0, 1, 0, 16, 2, 0, 0, 0, 56, 21, 0, 129, 0, 0, 0, 4, 0, 0, 123, 146, 0, 0]
cuda:1 [9, 80, 0, 0, 0, 14, 4, 25, 0, 1, 2, 1, 1, 394, 8, 411, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 1175, 0, 0, 0, 1, 38, 0, 5, 0, 0, 0, 0, 0, 71, 0, 0, 0, 26, 1, 0, 0, 0, 112, 45, 0, 162, 0, 1, 0, 3, 0, 0, 219, 236, 0, 1]
cuda:2 [3, 92, 0, 0, 1, 27, 4, 18, 0, 0, 5, 0, 1, 462, 1, 356, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 1149, 0, 0, 0, 1, 22, 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 9, 0, 0, 0, 0, 104, 51, 0, 186, 0, 0, 0, 6, 0, 0, 208, 247, 0, 0]
cuda:2 [3, 8, 0, 0, 0, 54, 10, 10, 0, 0, 7, 0, 1, 321, 3, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 1156, 0, 0, 0, 0, 18, 0, 2, 0, 0, 0, 0, 0, 373, 0, 1, 0, 6, 1, 0, 0, 0, 221, 16, 0, 77, 21, 1, 0, 9, 0, 0, 287, 190, 0, 0]
cuda:1 [5, 8, 0, 0, 0, 49, 9, 11, 0, 0, 5, 0, 1, 290, 2, 266, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 1155, 0, 0, 0, 3, 16, 0, 22, 0, 0, 0, 0, 0, 394, 0, 0, 0, 6, 1, 0, 0, 0, 212, 9, 0, 59, 10, 0, 0, 8, 0, 0, 304, 205, 0, 0]
cuda:3 [3, 9, 0, 0, 2, 50, 6, 6, 0, 1, 2, 0, 4, 187, 0, 197, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 718, 0, 0, 0, 1, 8, 0, 5, 0, 0, 0, 0, 0, 270, 0, 2, 0, 2, 0, 0, 0, 0, 120, 13, 0, 39, 16, 1, 0, 5, 0, 0, 231, 132, 0, 0]
cuda:3 [27, 5, 0, 0, 6, 310, 10, 2, 0, 3, 14, 0, 4, 87, 1, 337, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 318, 0, 0, 0, 11, 32, 0, 22, 0, 1, 0, 0, 0, 134, 0, 21, 0, 3, 0, 0, 0, 0, 89, 10, 0, 43, 14, 6, 0, 9, 0, 1, 304, 215, 0, 1]
cuda:2 [33, 9, 0, 0, 11, 407, 15, 5, 0, 1, 11, 0, 3, 106, 1, 534, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 429, 0, 0, 0, 5, 36, 0, 75, 0, 0, 0, 0, 1, 224, 0, 8, 0, 8, 0, 0, 0, 0, 133, 19, 0, 60, 18, 9, 1, 5, 0, 3, 569, 326, 0, 1]
cuda:1 [27, 5, 0, 0, 10, 370, 15, 6, 0, 4, 19, 0, 3, 136, 4, 506, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 459, 0, 0, 0, 6, 55, 1, 59, 0, 1, 0, 0, 3, 241, 0, 8, 0, 6, 0, 0, 0, 0, 150, 10, 0, 51, 16, 2, 0, 16, 0, 0, 543, 332, 0, 0]
cuda:2 [21, 1, 0, 0, 69, 68, 36, 2, 1, 15, 9, 0, 2, 120, 0, 603, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 409, 0, 0, 0, 0, 28, 8, 138, 0, 4, 0, 0, 0, 87, 0, 29, 0, 3, 0, 0, 0, 0, 68, 37, 0, 51, 8, 14, 0, 15, 0, 20, 713, 479, 0, 10]
